athleteId,fullName,slug,weight,displayHeight,height,age,dateOfBirth,citizenship,positionAbbreviation,teamId,appearances_value,foulsCommitted_value,foulsSuffered_value,yellowCards_value,redCards_value,ownGoals_value,goalAssists_value,offsides_value,shotsOnTarget_value,totalShots_value,totalGoals_value,shotsFaced_value,saves_value,goalsConceded_value,teamName,teamPrimaryColor,teamSecondaryColor,teamLogo,shot_accuracy,conversion_rate,on_target_conversion_rate,save_percentage,discipline_score,goals_pct_pos,assists_pct_pos,shot_accuracy_pct_pos,fouls_suff_pct_pos,fouls_comm_pct_pos,conversion_pct_pos,on_target_conv_pct_pos,goals_pct_global,assists_pct_global,shot_accuracy_pct_global,fouls_suff_pct_global,fouls_comm_pct_global,goals_conc_pct_pos,save_pct_pos,saves_pct_pos,yellow_cards_pct_pos,red_cards_pct_pos,offsides_pct_pos,chances_created
4946,Michael Keane,michael-keane,181.0,"6' 3""",75.0,32.0,1993-01-11T08:00Z,England,D,368,14,8,0,5,0,0,0,4,3,9,3,0,8,20,Everton,#0606fa,#132257,https://a.espncdn.com/i/teamlogos/soccer/500/368.png,0.3333333333333333,0.3333333333333333,1.0,,5,96.06741573033707,33.89513108614232,65.70680628272252,13.48314606741573,51.12359550561798,95.81151832460732,94.03973509933775,83.20261437908498,30.065359477124183,57.61078998073218,14.117647058823529,52.09150326797386,43.25842696629213,,63.10861423220974,18.16479400749064,54.49438202247191,15.730337078651687,2
6327,Ben Davies,ben-davies,170.0,"5' 11""",71.0,32.0,1993-04-24T07:00Z,Wales,D,367,17,17,7,5,0,0,0,3,1,5,0,0,20,23,Spurs,#ffffff,#9bafd8,https://a.espncdn.com/i/teamlogos/soccer/500/367.png,0.2,0.0,0.0,,5,35.0187265917603,33.89513108614232,38.481675392670155,59.36329588014981,70.59925093632958,29.05759162303665,23.509933774834437,29.934640522875817,30.065359477124183,28.227360308285164,53.59477124183007,69.73856209150327,38.76404494382022,,88.76404494382022,18.16479400749064,54.49438202247191,23.220973782771537,2
7441,Mark Travers,mark-travers,181.0,"6' 3""",75.0,26.0,1999-05-18T07:00Z,Republic of Ireland,G,349,5,0,1,0,0,0,0,0,0,0,0,77,20,5,Bournemouth,#f42727,#ffffff,https://a.espncdn.com/i/teamlogos/soccer/500/349.png,,,,0.8,0,50.609756097560975,47.5609756097561,,62.80487804878049,43.90243902439025,,,29.934640522875817,30.065359477124183,,30.84967320261438,15.42483660130719,48.78048780487805,93.75,56.09756097560976,64.6341463414634,50.0,67.07317073170731,0
9426,Ben Johnson,ben-johnson,148.0,"5' 9""",69.0,26.0,2000-01-24T08:00Z,England,D,373,23,26,6,4,1,0,2,1,3,6,1,0,5,38,Ipswich,#0000fa,#cd1937,https://a.espncdn.com/i/teamlogos/soccer/500/373.png,0.5,0.16666666666666666,0.3333333333333333,,6,77.71535580524345,88.57677902621724,87.43455497382199,55.80524344569289,85.76779026217228,85.6020942408377,66.88741721854305,66.60130718954248,78.82352941176471,88.82466281310212,51.045751633986924,83.66013071895425,20.411985018726597,,50.936329588014985,28.277153558052433,4.86891385767791,48.12734082397003,12
17828,Adam Webster,adam-webster,163.0,"6' 3""",75.0,30.0,1995-01-04T08:00Z,England,D,331,14,7,2,1,0,0,0,2,1,5,0,0,9,11,Brighton,#0606fa,#ffdd00,https://a.espncdn.com/i/teamlogos/soccer/500/331.png,0.2,0.0,0.0,,1,35.0187265917603,33.89513108614232,38.481675392670155,36.70411985018727,47.752808988764045,29.05759162303665,23.509933774834437,29.934640522875817,30.065359477124183,28.227360308285164,36.470588235294116,49.411764705882355,55.430711610486895,,66.47940074906367,60.48689138576779,54.49438202247191,33.52059925093633,3
17861,Danny Ward,danny-ward,192.0,"6' 3""",75.0,32.0,1993-06-22T07:00Z,Wales,G,375,2,0,0,0,0,0,0,0,0,0,0,5,4,6,Leicester,#0202fb,#000000,https://a.espncdn.com/i/teamlogos/soccer/500/375.png,,,,0.4,0,50.609756097560975,47.5609756097561,,29.268292682926827,43.90243902439025,,,29.934640522875817,30.065359477124183,,14.117647058823529,15.42483660130719,46.95121951219512,2.083333333333333,48.78048780487805,64.6341463414634,50.0,67.07317073170731,0
20975,Julio Enciso,julio-enciso,139.0,"5' 8""",68.0,22.0,2004-01-23T08:00Z,Paraguay,M,373,37,14,35,3,0,0,3,1,31,69,2,0,1,25,Ipswich,#0000fa,#cd1937,https://a.espncdn.com/i/teamlogos/soccer/500/373.png,0.4492753623188406,0.028985507246376812,0.06451612903225806,,3,73.91304347826086,81.08695652173913,87.93103448275862,85.86956521739131,50.8695652173913,37.35632183908046,29.677419354838708,77.25490196078432,85.88235294117646,82.08092485549133,90.7843137254902,63.39869281045751,39.78260869565218,,39.78260869565217,43.04347826086956,54.56521739130435,54.56521739130435,18
26843,James Milner,james-milner,152.0,"5' 9""",69.0,39.0,1986-01-04T08:00Z,England,M,331,4,3,1,1,0,0,0,0,0,2,0,0,2,1,Brighton,#0606fa,#ffdd00,https://a.espncdn.com/i/teamlogos/soccer/500/331.png,0.0,0.0,,,1,26.304347826086953,25.43478260869565,5.747126436781609,25.869565217391305,31.956521739130434,18.67816091954023,,29.934640522875817,30.065359477124183,7.321772639691715,30.84967320261438,39.869281045751634,76.52173913043478,,50.21739130434783,61.95652173913043,54.56521739130435,81.30434782608695,4
30377,Álex Moreno,alex-moreno,150.0,"5' 10""",70.0,32.0,1993-06-08T07:00Z,Spain,D,393,15,12,6,2,0,0,1,5,0,5,0,0,5,16,Nottm Forest,#c8102e,#132257,https://a.espncdn.com/i/teamlogos/soccer/500/393.png,0.0,0.0,,,2,35.0187265917603,76.02996254681648,10.732984293193718,55.80524344569289,61.79775280898876,29.05759162303665,,29.934640522875817,67.3202614379085,7.321772639691715,51.045751633986924,60.588235294117645,49.62546816479401,,50.936329588014985,46.254681647940075,54.49438202247191,10.112359550561806,5
31810,Ashley Young,ashley-young,141.0,"5' 9""",69.0,40.0,1985-07-09T07:00Z,England,D,368,32,29,22,7,1,0,3,6,1,5,1,0,4,23,Everton,#0606fa,#132257,https://a.espncdn.com/i/teamlogos/soccer/500/368.png,0.2,0.2,1.0,,9,77.71535580524345,94.00749063670412,38.481675392670155,87.07865168539325,91.19850187265918,90.0523560209424,94.03973509933775,66.60130718954248,85.88235294117646,28.227360308285164,78.75816993464052,86.9281045751634,38.76404494382022,,46.62921348314607,8.239700374531836,4.86891385767791,6.741573033707866,26
37557,Scott Carson,scott-carson,185.0,"6' 2""",74.0,39.0,1985-09-03T07:00Z,England,G,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Man City,#99c5ea,#e6ff00,https://a.espncdn.com/i/teamlogos/soccer/500/382.png,,,,,0,50.609756097560975,47.5609756097561,,29.268292682926827,43.90243902439025,,,29.934640522875817,30.065359477124183,,14.117647058823529,15.42483660130719,77.4390243902439,,21.341463414634145,64.6341463414634,50.0,67.07317073170731,0
41311,Dan Potts,dan-potts,152.0,"5' 8""",68.0,30.0,1994-04-13T07:00Z,England,D,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luton,#ff4f00,#1D428A,https://a.espncdn.com/i/teamlogos/soccer/500/301.png,,,,,0,35.0187265917603,33.89513108614232,,13.48314606741573,12.734082397003746,,,29.934640522875817,30.065359477124183,,14.117647058823529,15.42483660130719,89.32584269662921,,14.981273408239701,84.45692883895131,54.49438202247191,78.08988764044943,0
